state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,initiative,project,amount_low,amount_high,pool_amount,n_recipients,beds,counties_served,regions_served,entity_type_raw,budget_year2,flow_type,hospital_attribution,hospital_benefiting,intermediary_name,hospital_affiliation_signal,date_announced,classification_rule,determination_basis
OR,77,Legacy Medical Group - Woodburn Health Center,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,78,MCMC Family Medicine,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,79,Madras Medical Group PC,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,80,Main Street Family Medicine,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,81,Malheur Memorial Health Center,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,82,McMinnville Internal Medicine,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,83,North Bend Medical Center Bandon,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,84,"North Bend Medical Center, Inc Immediate Care",100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,85,OHSU Family Medicine at Scappoose,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,86,Oak Street Health Care Center,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,87,Orchid Health Fern Ridge Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,88,Orchid Health Mckenzie River Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,89,Orchid Health Oakridge,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,90,Orchid Health Wade Creek Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,91,Oregon Integrated Health,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,92,Park Street Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,93,Pediatric Specialists of Pendleton,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,94,Pendleton Family Medicine,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,95,Pine Eagle Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,96,Pioneer Memorial Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,97,Providence Hood River Memorial Hospital,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool. Name indicates hospital ownership; recorded, not recoded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,TRUE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,98,Providence Seaside Hospital - Providence Cannon Beach Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool. Name indicates hospital ownership; recorded, not recoded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,TRUE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,99,Providence Seaside Hospital - Providence Seaside Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool. Name indicates hospital ownership; recorded, not recoded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,TRUE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,100,Providence Seaside Hospital - Providence Warrenton Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool. Name indicates hospital ownership; recorded, not recoded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,TRUE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,101,Saint Alphonsus Medical Center - Baker City,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,102,Salem Health Medical Clinic Woodburn,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,103,Samaritan Coastal Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,104,Samaritan Depoe Bay Clinic,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
OR,105,Samaritan Family Medicine - Brownsville,100000,FQHC_OR_RHC,No,"Transformation Fund, standardised Rural Health Clinic award. THIS IS NOT A HOSPITAL AWARD: OHA prints these 99 in a separate table from the 35 hospitals, against a separate $10M pool.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Rural Health Clinic,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_RHC,Transformation Fund - Rural Health Clinics,,,,,,,,,Rural Health Clinic,,NON_HOSPITAL,NOT_HOSPITAL,No,,FALSE,2026-05-07,STATE_ORG_TYPE,"The state's own Organization Type field states 'Rural Health Clinic'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work."
