queue_row,state,recipient_name,match_name,queue_code,queue_source,direction,dollars_at_stake,award_rows,classifier_assigned,current_coding,verified_type,verified_by,verified_date,basis,basis_type
72,KS,Salina Regional Health Center,Salina Regional Health Center,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,932310,1,NONPROFIT_CBO / LOW,IN_KIND_BENEFIT / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"Salina Regional Health Center, regional hospital; KDHE Regional Partnerships Grant (32,310). [Org type from general knowledge; URL is the award source.] https://www.kdhe.ks.gov/m/NewsFlash/Home/Detail/1957",GENERAL_KNOWLEDGE
73,WY,Instaclinic LLC,Instaclinic LLC,WY_CARE_COORDINATION_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,926340,4,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,OTHER,"Claude, run by IN",46286,"virtual telehealth and remote patient monitoring platform based in Cheyenne, Wyoming, that delivers structured medical care, weight management, and chronic condition oversight",GENERAL_KNOWLEDGE
74,NE,CHI St. Mary’s,CHI St. Mary’s,NE_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,908475.54,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"CHI St. Mary's (Nebraska City), CommonSpirit/CHI Health hospital. Initiative 4.4b (remote patient monitoring) was open only to Critical Access Hospitals, Rural Emergency Hospitals, Regional Rural Hospitals and FQHCs (RFA: https://dhhs.ne.gov/Grants%20and%20Contract%20Opportunity%20Docs/RHTP%20Initiative%204.4b%20RFA.pdf). https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4b.pdf",GENERAL_KNOWLEDGE
75,AR,LilyLink/The Perinatal Center,LilyLink/The Perinatal Center,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,871736,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,"Claude, run by IN",46286,"The Perinatal Center, PLLC is a maternal-fetal medicine physician group (Oklahoma City and Tulsa sites); ""LilyLink"" appears to be its program name. Arkansas footprint not confirmed. https://doctor.webmd.com/practice/the-perinatal-center-31a05fb7-a603-4898-8871-c14f7e4db3e9",ORG_WEBSITE
76,AR,Doula Alliance of Arkansas,Doula Alliance of Arkansas,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,860500,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Statewide doula alliance (membership/advocacy organization). [Org type from general knowledge; URL is the award source.] https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,GENERAL_KNOWLEDGE
77,MD,The Beacon Institute Inc,The Beacon Institute Inc,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,860000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"501(c)(3) (EIN 52-1990733), education/training subsidiary of LifeSpan Network, the MD/DC senior care provider association; award builds a post-acute (nursing home) integrated network. https://www.charitynavigator.org/ein/521990733",ORG_WEBSITE
78,OR,OHSU Casey Eye Institute,OHSU Casey Eye Institute,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,783516,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,UNIVERSITY_OR_AHC,"Claude, run by IN",46286,Oregon Health & Science University's Casey Eye Institute (academic health center); award expands its mobile vision program. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx,GENERAL_KNOWLEDGE
79,WY,Powell Valley Health Care,Powell Valley Health Care,WY_TECH_FORM_NOT_STATED,COMMITTED_QUEUE,UP,752302,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"Powell Valley Health Care, critical access hospital (Powell); already coded a hospital elsewhere in the WY file (Powell Valley Health Care Inc). [Org type from general knowledge; URL is the award source.] https://health.wyo.gov/admin/rural-health-transformation-program/",GENERAL_KNOWLEDGE
80,NE,CHI Health Schuyler,CHI Health Schuyler,NE_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,711629.63,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"CHI Health Schuyler, critical access hospital. Initiative 4.4b (remote patient monitoring) was open only to Critical Access Hospitals, Rural Emergency Hospitals, Regional Rural Hospitals and FQHCs (RFA: https://dhhs.ne.gov/Grants%20and%20Contract%20Opportunity%20Docs/RHTP%20Initiative%204.4b%20RFA.pdf). https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4b.pdf",GENERAL_KNOWLEDGE
81,FL,North Florida Rural Health Corp,North Florida Rural Health Corp,FL_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,650000,1,NONPROFIT_CBO / LOW,NA / distributed_to_hospital = Unclear,NONPROFIT_CBO,"Claude, run by IN",46286,"Community clinic in Chattahoochee (Gadsden County) offering medical, dental, telehealth and behavioral health to underserved residents; a 340B STD grantee (not an FQHC). Legal form not confirmed. https://340bopais.hrsa.gov/cedetails/95129",ORG_WEBSITE
82,OR,Family Connects Oregon,Family Connects Oregon,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,631000,1,NONPROFIT_CBO / LOW,IN_KIND_BENEFIT / distributed_to_hospital = No,LOCAL_GOVT_OR_PUBLIC_HEALTH,"Claude, run by IN",46286,OHA describes Family Connects Oregon as the state's universally offered public health nurse home visiting program. The administering entity is not named. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx,GENERAL_KNOWLEDGE
83,MD,Lower Shore Clinic Inc aka HealthPort,Lower Shore Clinic Inc aka HealthPort,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,621612,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,MDH award document describes HealthPort as a Maryland nonprofit Certified Community Behavioral Health Clinic (CCBHC); classified with other CMHCs/CCBHCs. https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,GENERAL_KNOWLEDGE
84,OR,Columbia Gorge Health Council,Columbia Gorge Health Council,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,618000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Regional community health council (Columbia Gorge); OHA award runs a clinic-based community health worker model for older adults. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx,GENERAL_KNOWLEDGE
85,OR,Oregon Perinatal Collaborative,Oregon Perinatal Collaborative,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,610000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,UNIVERSITY_OR_AHC,"Claude, run by IN",46286,"OHA's Catalyst list names it as ""Oregon Health & Science University, Oregon Perinatal Collaborative"" (OHSU program); award funds a mobile obstetric simulation unit. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx",GENERAL_KNOWLEDGE
86,MI,Access Health,Access Health,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,600000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Muskegon-based nonprofit community health access / coverage program. [Org type from general knowledge; URL is the award source.],GENERAL_KNOWLEDGE
87,MI,Center for Health & Research Transformation (CHRT),Center for Health & Research Transformation (CHRT),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,600000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Ann Arbor nonprofit health policy and research center (CHRT). [Org type from general knowledge; URL is the award source.],GENERAL_KNOWLEDGE
88,NE,Faith Health,Faith Health,NE_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,578673.69999999995,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"Faith Health (Faith Regional Health Services, Norfolk), regional hospital. Initiative 4.4b (remote patient monitoring) was open only to Critical Access Hospitals, Rural Emergency Hospitals, Regional Rural Hospitals and FQHCs (RFA: https://dhhs.ne.gov/Grants%20and%20Contract%20Opportunity%20Docs/RHTP%20Initiative%204.4b%20RFA.pdf). https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4b.pdf",GENERAL_KNOWLEDGE
89,WY,William H. and Carrie Gottsche Foundation,William H. and Carrie Gottsche Foundation,WY_CARE_COORDINATION_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,553620,5,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"William H. and Carrie Gottsche Foundation (Thermopolis), nonprofit that runs the Gottsche rehabilitation and wellness center. [Org type from general knowledge; URL is the award source.] https://health.wyo.gov/admin/rural-health-transformation-program/",GENERAL_KNOWLEDGE
90,AL,Ivy Creek Healthcare LLC,Ivy Creek Healthcare LLC,AL_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,530600,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"Ivy Creek Healthcare, Alabama health system operating two hospitals (incl. Elmore Community Hospital) and clinics; this award upgrades its EHR and cybersecurity. https://elmoreautauganews.com/?p=63049",ORG_WEBSITE
91,MD,Healthy Mind Foundation,Healthy Mind Foundation,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,530000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,"Claude, run by IN",46286,"Listed in MHCC's primary care practice award offers ($530,000 to open a new practice in Cumberland, 900 new patients). Entity also runs an outpatient mental health program in Baltimore; legal form not confirmed. https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Expand-Primary-Care-Access-BP1-Award-Offers.pdf",STATE_SOURCE
92,OR,Area Agencies on Aging,Area Agencies on Aging,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,515051,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"A pool of Oregon Area Agencies on Aging (senior meal expansion), not one organization. Oregon AAAs are a mix of county governments, councils of governments and nonprofits; none is a hospital. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx",GENERAL_KNOWLEDGE
93,AL,Capstone Health,Capstone Health,AL_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,510060,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,FQHC_OR_RHC,"Claude, run by IN",46286,"Capstone Health (Walker/Winston counties), community health center. Awards fund Hepatitis C care and weekend clinic hours. [FQHC status from general knowledge] https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/",GENERAL_KNOWLEDGE
94,OR,Healthcare Safety Solutions,Healthcare Safety Solutions,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,502000,1,NONPROFIT_CBO / LOW,IN_KIND_BENEFIT / distributed_to_hospital = No,VENDOR_OR_CONTRACTOR,"Claude, run by IN",46286,Training company delivering EMS/hospital simulation training under the award. [Org type from general knowledge; URL is the award source.] https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx,GENERAL_KNOWLEDGE
95,MI,Program of All-Inclusive Care for the Elderly (PACE) Central Michigan,Program of All-Inclusive Care for the Elderly (PACE) Central Michigan,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,OTHER,"Claude, run by IN",46286,"PACE organization (Program of All-Inclusive Care for the Elderly), a combined Medicare/Medicaid care provider and plan for frail elders. Not one of the nine categories. [Org type from general knowledge; URL is the award source.]",GENERAL_KNOWLEDGE
96,MI,Program of All-Inclusive Care for the Elderly (PACE) Northeast Michigan,Program of All-Inclusive Care for the Elderly (PACE) Northeast Michigan,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,OTHER,"Claude, run by IN",46286,"PACE organization (Program of All-Inclusive Care for the Elderly), a combined Medicare/Medicaid care provider and plan for frail elders. Not one of the nine categories. [Org type from general knowledge; URL is the award source.]",GENERAL_KNOWLEDGE
97,MI,Region 10 Area Agency on Aging (AAA) - AAA of Northwest Michigan,Region 10 Area Agency on Aging (AAA) - AAA of Northwest Michigan,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"Area Agency on Aging of Northwest Michigan (Region 10), nonprofit aging services agency. Classified by legal form, consistent with other AAAs. [Org type from general knowledge; URL is the award source.]",GENERAL_KNOWLEDGE
98,MI,Region 11 Area Agency on Aging (AAA) - Upper Peninsula Commission for Area Progress (UPCAP),Region 11 Area Agency on Aging (AAA) - Upper Peninsula Commission for Area Progress (UPCAP),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"UPCAP, the Region 11 Area Agency on Aging; 501(c)(3) regional organization serving all 15 U.P. counties (same entity classified earlier). https://www.linkedin.com/company/upcap",ORG_WEBSITE
99,MI,Region 9 Area Agency on Aging (AAA) - Northeast Michigan Community Service Agency (NEMCSA),Region 9 Area Agency on Aging (AAA) - Northeast Michigan Community Service Agency (NEMCSA),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"Region 9 AAA is operated by Northeast Michigan Community Service Agency (NEMCSA), a nonprofit community action agency. [Org type from general knowledge; URL is the award source.]",GENERAL_KNOWLEDGE
100,MI,Northeast Michigan Community Service Agency (CSA),Northeast Michigan Community Service Agency (CSA),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,482865,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"Northeast Michigan Community Service Agency, a nonprofit community action agency (also runs the Region 9 AAA and Northeast Michigan 2-1-1). [Org type from general knowledge; URL is the award source.]",GENERAL_KNOWLEDGE
101,AL,Northwest Alabama Mental Health Center,Northwest Alabama Mental Health Center,AL_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,480408,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Community mental health center converting to a CCBHC (per the Governor's release). Classified with other CMHCs. https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GENERAL_KNOWLEDGE
102,OR,"Ravenseed AZN, LLC (DBA Acadia Northwest)","Ravenseed AZN, LLC (DBA Acadia Northwest)",OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,472982,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,OTHER,"Claude, run by IN",46286,"For-profit LLC (dba Acadia Northwest); OHA's own organization type is Behavioral Health Clinic. Private behavioral health practice, not one of the nine categories. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx",STATE_SOURCE
103,MD,For All Seasons Inc,For All Seasons Inc,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,466000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,MDH award document: behavioral health and rape crisis center serving the Mid-Shore since 1986. https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,GENERAL_KNOWLEDGE
104,NE,Mary Lanning Healthcare,Mary Lanning Healthcare,NE_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,460239.4,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"Mary Lanning Healthcare (Hastings), regional hospital. Initiative 4.4b (remote patient monitoring) was open only to Critical Access Hospitals, Rural Emergency Hospitals, Regional Rural Hospitals and FQHCs (RFA: https://dhhs.ne.gov/Grants%20and%20Contract%20Opportunity%20Docs/RHTP%20Initiative%204.4b%20RFA.pdf). https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4b.pdf",GENERAL_KNOWLEDGE
105,MD,Ryan’s Place Health Services,Ryan’s Place Health Services,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,447547,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,"Claude, run by IN",46286,Primary care practice for people with developmental disabilities (Gaithersburg); MHCC practice award to establish a new practice serving 300 patients. https://www.mymcmedia.org/?p=178335,ORG_WEBSITE
106,NE,Jefferson Community Health & Life,Jefferson Community Health & Life,NE_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,446741.33,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"Jefferson Community Health & Life (Fairbury), critical access hospital; already coded a hospital elsewhere in the NE file. Initiative 4.4b (remote patient monitoring) was open only to Critical Access Hospitals, Rural Emergency Hospitals, Regional Rural Hospitals and FQHCs (RFA: https://dhhs.ne.gov/Grants%20and%20Contract%20Opportunity%20Docs/RHTP%20Initiative%204.4b%20RFA.pdf). https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4b.pdf",GENERAL_KNOWLEDGE
107,MI,National Jewish Health (Quitlink),National Jewish Health (Quitlink),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,435000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,VENDOR_OR_CONTRACTOR,"Claude, run by IN",46286,"National Jewish Health (Denver) is a nonprofit respiratory hospital and research center; here it is paid to run the Michigan tobacco quitline (Quitlink), i.e., a service contractor. Classified by function; by legal form it would be HOSPITAL_OR_SYSTEM. [Org type from general knowledge; URL is the award source.]",GENERAL_KNOWLEDGE
108,NE,CHI Good Samaritan/CHI St. Francis,CHI Good Samaritan/CHI St. Francis,NE_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,430601.57,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"CHI Good Samaritan (Kearney) / CHI St. Francis (Grand Island), CHI Health hospitals. Initiative 4.4b (remote patient monitoring) was open only to Critical Access Hospitals, Rural Emergency Hospitals, Regional Rural Hospitals and FQHCs (RFA: https://dhhs.ne.gov/Grants%20and%20Contract%20Opportunity%20Docs/RHTP%20Initiative%204.4b%20RFA.pdf). https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4b.pdf",GENERAL_KNOWLEDGE
109,AR,Arkansas Baptist Childrens Homes and Family Ministries,Arkansas Baptist Childrens Homes and Family Ministries,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,423761.29,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"Arkansas Baptist Children's Homes and Family Ministries, faith-based child welfare and family services nonprofit. [Org type from general knowledge; URL is the award source.] https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf",GENERAL_KNOWLEDGE
110,OR,BestCare Treatment Services,BestCare Treatment Services,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,412635,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"BestCare Treatment Services, nonprofit community mental health/addiction provider in central Oregon; Nurture Oregon site. [Org type from general knowledge; URL is the award source.] https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx",GENERAL_KNOWLEDGE
111,WY,Instaclinic LLC,Instaclinic LLC,WY_TECH_FORM_NOT_STATED,COMMITTED_QUEUE,UP,406784,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,OTHER,"Claude, run by IN",46286,"virtual telehealth and remote patient monitoring platform based in Cheyenne, Wyoming, that delivers structured medical care, weight management, and chronic condition oversight",GENERAL_KNOWLEDGE
112,MD,Menocal Family Practice,Menocal Family Practice,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,398671,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,"Claude, run by IN",46286,"Listed in MHCC's primary care practice award offers ($398,671 to move an existing practice into an expanded facility, 2,000 new patients, Western MD). https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Expand-Primary-Care-Access-BP1-Award-Offers.pdf",STATE_SOURCE
113,WY,"Bighorn Valley Health Center, Inc. dba One Health","Bighorn Valley Health Center, Inc. dba One Health",WY_TECH_FORM_NOT_STATED,COMMITTED_QUEUE,UP,376636,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,FQHC_OR_RHC,"Claude, run by IN",46286,Bighorn Valley Health Center dba One Health; already typed FQHC_OR_RHC elsewhere in the WY file. [Org type from general knowledge; URL is the award source.] https://health.wyo.gov/admin/rural-health-transformation-program/,GENERAL_KNOWLEDGE
114,AR,"Wolfe Street Foundation, Inc.","Wolfe Street Foundation, Inc.",AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,369619,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"Wolfe Street Foundation (Little Rock), nonprofit addiction recovery support center. [Org type from general knowledge; URL is the award source.] https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf",GENERAL_KNOWLEDGE
115,OR,ReConnections Counseling,ReConnections Counseling,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,368063,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Addiction and behavioral health treatment provider; Nurture Oregon site serving pregnant people with substance use disorders. Legal form not confirmed. [Org type from general knowledge; URL is the award source.] https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx,GENERAL_KNOWLEDGE
116,MI,Northwest Michigan Community Action Agency,Northwest Michigan Community Action Agency,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,367154,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Community action agency serving northwest lower Michigan. [Org type from general knowledge; URL is the award source.],GENERAL_KNOWLEDGE
117,OR,"Oregon Rural Practice-based Research Network (ORPRN), Oregon Community Health Workers' Association (ORCHWA), Familia's en Acción, and Oregon Wellness Network (OWN)","Oregon Rural Practice-based Research Network (ORPRN), Oregon Community Health Workers' Association (ORCHWA), Familia's en Acción, and Oregon Wellness Network (OWN)",OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,363000,1,NONPROFIT_CBO / LOW,PASS_THROUGH_UNRESOLVED / distributed_to_hospital = Unclear,UNIVERSITY_OR_AHC,"Claude, run by IN",46286,"Consortium award; lead partner ORPRN (Oregon Rural Practice-based Research Network) is based at OHSU. Other partners (ORCHWA, Familias en Accion, Oregon Wellness Network) are nonprofits. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx",GENERAL_KNOWLEDGE
118,OR,Trillium Family Services,Trillium Family Services,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,362760,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Nonprofit child and family mental health provider; award adds school-based mental health services in Linn County. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx,GENERAL_KNOWLEDGE
119,OR,Veggie Rx Expansion Oregon Community Food System Network,Veggie Rx Expansion Oregon Community Food System Network,OR_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,358171,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,Oregon Community Food Systems Network (nonprofit network) expanding Veggie Rx produce-prescription programs. https://www.oregon.gov/oha/hpa/hp/pages/rhtp-awards.aspx,GENERAL_KNOWLEDGE
120,NE,CHI Health Plainview,CHI Health Plainview,NE_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,355311.03,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,"Claude, run by IN",46286,"CHI Health Plainview, critical access hospital. Initiative 4.4b (remote patient monitoring) was open only to Critical Access Hospitals, Rural Emergency Hospitals, Regional Rural Hospitals and FQHCs (RFA: https://dhhs.ne.gov/Grants%20and%20Contract%20Opportunity%20Docs/RHTP%20Initiative%204.4b%20RFA.pdf). https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4b.pdf",GENERAL_KNOWLEDGE
121,MI,Chippewa-Luce-Mackinac Community Action Agency,Chippewa-Luce-Mackinac Community Action Agency,MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,350000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,"Claude, run by IN",46286,"Community action agency for Chippewa, Luce and Mackinac counties (organized as a Human Resource Authority; see row 200). [Org type from general knowledge; URL is the award source.]",GENERAL_KNOWLEDGE
122,AK,Whale Tail Pharmacy,Whale Tail Pharmacy,AK_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,341274,1,NONPROFIT_CBO / LOW,IN_KIND_BENEFIT / distributed_to_hospital = No,OTHER,"Claude, run by IN",46286,Retail pharmacy; Alaska's own project organization type is Pharmacy. Not one of the nine categories. https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,STATE_SOURCE
